long,lat,epsg3413_x,epsg3413_y,elevation,id,meters_from_site,inclination_from_site,bearing_from_site
-149.0799663355,61.8972528806,-3011102.5,755217.5,1798.916,214,2246.165,12.41696925,254.49296708
-149.0762408471,61.8904227107,-3011912.5,755212.5,1828.939,215,2589.867,11.45022894,242.38615055
-149.0797196771,61.8969678814,-3011137.5,755212.5,1804.093,216,2251.525,12.51396004,253.96456875
-149.0798992753,61.8973056988,-3011097.5,755212.5,1798.057,217,2239.960,12.42936757,254.54400205
-149.0799217254,61.897347926,-3011092.5,755212.5,1796.539,218,2238.560,12.39983893,254.61625094
-149.0799441756,61.8973901532,-3011087.5,755212.5,1795.846,219,2237.171,12.390356,254.68845911
-149.0799666258,61.8974323804,-3011082.5,755212.5,1796.097,220,2235.792,12.40390872,254.76062637
-149.0799890761,61.8974746076,-3011077.5,755212.5,1795.267,221,2234.423,12.39096749,254.83275253
-149.0761513581,61.8904332986,-3011912.5,755207.5,1828.429,222,2585.718,11.45726751,242.3351302
-149.0796077184,61.896936245,-3011142.5,755207.5,1799.253,223,2248.246,12.41403155,253.8691576
-149.0796301678,61.8969784722,-3011137.5,755207.5,1803.238,224,2246.751,12.51891522,253.94194542
-149.0758599266,61.8900638465,-3011957.5,755202.5,1844.765,225,2607.015,11.71077281,241.59818654
-149.0758823643,61.8901060731,-3011952.5,755202.5,1843.425,226,2604.162,11.69498868,241.67437115
-149.0795182092,61.8969468357,-3011142.5,755202.5,1798.639,227,2243.476,12.42465581,253.84624238
-149.075546066,61.8896521676,-3012007.5,755197.5,1853.801,228,2631.841,11.79195639,240.78160515
-149.075568503,61.8896943942,-3012002.5,755197.5,1852.809,229,2628.919,11.78396633,240.85793753
-149.07559094,61.8897366209,-3011997.5,755197.5,1851.363,230,2626.004,11.76645049,240.93427409
-149.075613377,61.8897788475,-3011992.5,755197.5,1849.925,231,2623.096,11.7490271,241.01061455
-149.0756358142,61.8898210742,-3011987.5,755197.5,1848.785,232,2620.193,11.73779184,241.08695864
